Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
"[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,"[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,Table_15,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 15 Note *  Moderate sampling variability, interpret with caution.  Return to table 15 note * referrer  Table 15 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 15 note # referrer  Table 15 Note ↑  Rounds up to whole number.  Return to table 15 note ↑ referrer  Table 15 Note↓  Rounds down to whole number.  Return to table 15 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,
All Genders,,30925,,,,,,Table_16,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4Footnote *  [0.2-0.6],0.9  [0.7-1.2],1.6  [1.3-2.0],97.1  [96.6-97.5],,,,,,,,,,,
Men,,15244,,,,,,Table_16,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,1.2Footnote *  [0.8-1.7],2.0  [1.4-2.6],96.1  [95.3-96.9],,,,,,,,,,,
Women,,15666,,,,,,Table_16,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,1.2  [0.8-1.6],98.1  [97.6-98.5],,,,,,,,,,,
All  Genders,,2810,,,,,,Table_16,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,96.6  [95.4-97.7],,,,,,,,,,,
All  Genders,,1798,,,,,,Table_16,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,4.3Footnote *  [2.8-5.7],93.4  [91.6-95.2],,,,,,,,,,,
All  Genders,,26317,,,,,,Table_16,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,0.9Footnote *  [0.6-1.1],1.4  [1.0-1.7],97.4  [96.9-97.9],,,,,,,,,,,
All  Genders,,9976,,,,,,Table_16,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,1.7Footnote *  [1.0-2.4],3.1  [2.1-4.1],94.5Footnote ↓  [93.2-95.7],,,,,,,,,,,
All  Genders,,16341,,,,,,Table_16,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,99.2  [98.9-99.4],,,,,,,,,,,
Men,,1435,,,,,,Table_16,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,96.3  [94.6-98.0],,,,,,,,,,,
Men,,940,,,,,,Table_16,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,92.4  [89.7-95.1],,,,,,,,,,,
Men,,12869,,,,,,Table_16,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,1.2Footnote *  [0.7-1.7],1.8Footnote *  [1.1-2.5],96.3  [95.4-97.2],,,,,,,,,,,
Men,,4947,,,,,,Table_16,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,4.2Footnote *  [2.5-5.9],92.2  [89.9-94.4],,,,,,,,,,,
Men,,7922,,,,,,Table_16,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,98.9  [98.4-99.4],,,,,,,,,,,
Women,,1365,,,,,,Table_16,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,97.1  [95.6-98.5],,,,,,,,,,,
Women,,853,,,,,,Table_16,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,94.7  [92.4-97.0],,,,,,,,,,,
Women,,13448,,,,,,Table_16,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,0.9Footnote *  [0.5-1.3],98.4  [97.8-98.9],,,,,,,,,,,
Women,,5030,,,,,,Table_16,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,96.7 [95.4-98.0],,,,,,,,,,,
Women,,8419,,,,,,Table_16,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,99.4 [99.0-99.7],,,,,,,,,,,
"[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,"[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,Table_16,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 16 Note *  Moderate sampling variability, interpret with caution.  Return to table 16 note * referrer  Table 16 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 16 note # referrer  Table 16 Note↓  Rounds down to whole number.  Return to table 16 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,
,All age  groups,,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8614,340,307,411,395,1723,2611,449,421,889,1068
,15-19,,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,41,34,56,59,238,372,53,51,110,137
,20-24,,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,50,41,54,51,147,273,44,60,90,105
,25+,,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548,249,232,301,285,1338,1966,352,310,689,826
,25-44,,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793,53,50,58,68,370,554,92,106,253,189
,45+,,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4755,196,182,243,217,968,1412,260,204,436,637
,"Source: Canadian Tobacco and Nicotine Survey, 2019",,,,,,,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019","Source: Canadian Tobacco and Nicotine Survey, 2019"
